iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,13.77,13.77,13.77,393.21,PASS
2,13.77,13.77,13.77,394.49,PASS
3,13.77,13.77,13.77,359.54,PASS
