iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,14.02,14.02,14.02,480.07,PASS
2,14.02,14.02,14.02,528.53,PASS
3,14.02,14.02,14.02,480.76,PASS
4,14.02,14.02,14.02,481.3,PASS
5,14.02,14.02,14.02,482.41,PASS
