iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,13.75,13.75,13.75,1022.27,PASS
2,13.75,13.75,13.75,1029.25,PASS
3,13.75,13.75,13.75,1030.48,PASS
4,13.75,13.75,13.75,1034.34,PASS
5,13.75,13.75,13.75,1035.13,PASS
