iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,13.53,13.53,13.53,393.53,PASS
2,13.87,13.87,13.87,392.93,PASS
3,13.87,13.87,13.87,391.86,PASS
