iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,14.02,14.02,14.02,59.94,PASS
2,14.02,14.02,14.02,59.84,PASS
3,14.02,14.02,14.02,60.88,PASS
4,14.02,14.02,14.02,58.85,PASS
5,14.02,14.02,14.02,58.72,PASS
