iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,14.02,14.02,14.02,618.17,PASS
2,14.02,14.02,14.02,598.43,PASS
3,14.02,14.02,14.02,671.9,PASS
4,14.02,14.02,14.02,613.45,PASS
5,14.02,14.02,14.02,590.47,PASS
