iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,13.44,13.44,13.44,299.51,PASS
2,13.75,13.75,13.75,331.16,PASS
3,13.75,13.75,13.75,289.86,PASS
4,13.75,13.75,13.75,298.49,PASS
5,13.75,13.75,13.75,298.29,PASS
