iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,14.02,14.02,14.02,22.59,PASS
2,14.02,14.02,14.02,25.51,PASS
3,14.02,14.02,14.02,23.93,PASS
4,14.02,14.02,14.02,21.08,PASS
5,14.02,14.02,14.02,27.61,PASS
