iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,13.77,13.77,13.77,26.21,PASS
2,13.77,13.77,13.77,40.51,PASS
3,13.77,13.77,13.77,40.41,PASS
