iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,14.02,14.02,14.02,67.7,PASS
2,14.02,14.02,14.02,67.96,PASS
3,14.02,14.02,14.02,70.6,PASS
4,14.02,14.02,14.02,65.31,PASS
5,14.02,14.02,14.02,70.32,PASS
