iteration,start_memory_mb,peak_memory_mb,end_memory_mb,execution_time_s,status
1,13.63,14.01,14.01,611.25,PASS
2,14.01,14.01,14.01,611.75,PASS
3,14.02,14.02,14.02,611.37,PASS
4,14.02,14.02,14.02,612.93,PASS
5,14.02,14.02,14.02,610.14,PASS
